,Unnamed: 0,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th,second_price
0,0,second price,1986.0,933.1641490433033,924.0646663249997,2.0,293.0,650.5,1268.0,6492.0,1986.0,0.14439803817582558,0.12276112507308745,0.00024737167594310447,0.051906235246772944,0.11182227033398814,0.2050104263210386,0.8339350180505415,1.4899326190226931,3.05505061775676,0.0013713718003958352,0.0006042595985392892,1
1,1,second price,1940.0,940.4644329896907,926.6622321504236,2.0,292.0,647.0,1278.75,7545.0,1940.0,0.1452399341211784,0.12047175103289105,0.0002973977695167287,0.052843141654538926,0.11932861478545947,0.20610975997355968,0.8122506453884065,1.4027192572961515,2.594558371890996,0.0011751667846384393,0.0004720850580643286,1
2,2,second price,1987.0,940.0795168595872,898.821615109856,1.0,302.0,662.0,1331.0,7697.0,1987.0,0.1441945854763115,0.1175677244275299,0.0002829654782116582,0.05440231136925165,0.11706892261756655,0.19841925180005296,0.7741543798785776,1.3581189396821352,2.306657068661628,0.001011146150946118,0.0003800641164432561,1
3,3,second price,1919.0,954.5476810838977,916.2835374800336,1.0,283.5,684.0,1337.0,6627.0,1919.0,0.14634014382698088,0.120034551380635,0.00017445917655268666,0.053173149420689236,0.12008680974198215,0.20926770760566266,0.8841482404235441,1.37335531972671,2.72385309793729,0.0011849088304338395,0.0005077252875299972,1
4,4,second price,1931.0,958.7804246504402,922.844696094004,1.0,310.5,689.0,1291.0,7282.0,1931.0,0.15047582962914888,0.12345029199107305,0.00011506155793349441,0.05535923700904703,0.12250309351246245,0.2108247479635807,0.7911840773642191,1.3635390992134064,2.3073517989700334,0.0012292865718171108,0.00048408157365569806,1
5,5,second price,1849.0,955.9837750135208,906.4502340409455,2.0,285.0,702.0,1345.0,6061.0,1849.0,0.14933317942812685,0.12464893433974328,0.0003304328670558432,0.051419389394750936,0.12230373371290924,0.20992786404205893,0.8088882957426932,1.3356357297006116,2.1578558917915736,0.0012416205279026538,0.00048702745565521984,1
6,6,second price,1823.0,951.2775644541963,918.2535156284397,1.0,292.0,682.0,1346.5,9591.0,1823.0,0.14650905756484456,0.12291010477402202,0.0002847785846504343,0.051984595765987074,0.118076792388719,0.2056646418893111,0.8869313113291704,1.4646450585152744,3.018490282170053,0.0013693870243191846,0.0006106326217079714,1
7,7,second price,1971.0,898.0157280568241,859.814138371998,1.0,288.5,629.0,1257.0,6984.0,1971.0,0.1406204508528708,0.1152551272957499,0.00023402761525860048,0.05167561812302368,0.11371069182389935,0.20404893128745988,0.7188883170355121,1.2989094815344606,2.063836043646584,0.0008911886243392293,0.00032080849704703966,1
8,8,second price,1948.0,958.3439425051333,922.2402548146976,1.0,311.75,667.0,1336.25,9387.0,1948.0,0.14846448984067004,0.11941801609721114,0.00021920210434020167,0.05656810357244733,0.12164495660821208,0.215796172180062,1.1074403906923298,1.3617292007827906,3.3982773589097808,0.0012974634786694287,0.0007236915262035956,1
9,9,second price,2000.0,961.268,905.1411461331387,1.0,297.0,711.0,1304.0,7290.0,2000.0,0.1499095778864126,0.12207430496624665,0.0001085894233901618,0.05748476463995517,0.12161777005031398,0.2098793023945316,0.7136775865260041,1.3602403796620004,2.3282629052248205,0.001180128208066564,0.0004547804640394991,1
10,10,second price,1900.0,968.0615789473683,951.4287667263544,1.0,291.0,680.0,1347.0,7172.0,1900.0,0.1476260854402896,0.12322584473235088,0.00010705491917353604,0.05287086272048054,0.1183977756216978,0.21152505413582876,0.7628299120234604,1.3290530331835058,2.19777491210388,0.0011951438084285926,0.0004731376016178261,1
11,11,second price,1897.0,915.917237743806,902.0551669742488,1.0,270.0,637.0,1275.0,9211.0,1897.0,0.14193440858208442,0.12031374044536478,0.00018484288354898336,0.05095759233926129,0.11228622862286228,0.19854721549636806,0.7304532202491386,1.452533713849183,2.5825725872195324,0.0011664376314239678,0.0004536408410067043,1
12,12,second price,1932.0,947.6687370600414,900.1088385745477,1.0,300.75,687.5,1302.25,6790.0,1932.0,0.14550844789223166,0.11810591766178788,0.00015037593984962405,0.05493412601113798,0.11966966383360972,0.2036045874679108,0.8548243001786778,1.3687141208060694,2.4998962682550845,0.0010671738356209481,0.0004251566431209005,1
13,13,second price,1924.0,943.6273388773387,886.6926129209717,1.0,296.75,674.0,1323.25,6315.0,1924.0,0.14499296347464175,0.11693683376594055,0.00019334880123743234,0.05369361358901252,0.11734982963772222,0.20606852640327694,0.7113733905579399,1.2242999679860571,1.7058914710980293,0.0008776040608468567,0.00030521039071249723,1
14,14,second price,1874.0,944.4151547491997,894.549575117905,1.0,282.0,684.5,1325.75,7000.0,1874.0,0.14442978617691102,0.1185570617455486,0.00012714558169103624,0.0533186889050532,0.11438996827588475,0.20475031693909806,0.8662640207075065,1.3055004469991014,2.2101251506423027,0.001026444989884201,0.0004111418409641484,1
15,15,second price,1854.0,934.5021574973033,892.7119808668707,1.0,298.25,669.0,1309.0,6371.0,1854.0,0.1434571984928488,0.1197320743902554,0.00012988699831146898,0.05195290947879501,0.1176167449695967,0.2036063718331852,0.8174989849776695,1.4785696803387636,3.06618924896788,0.0012429837549954824,0.0005285070444010913,1
16,16,second price,1902.0,956.7176656151421,931.4542123494542,2.0,293.0,674.5,1313.75,6386.0,1902.0,0.14636751952088814,0.12108554603415332,0.00043579314352120866,0.05290654048449593,0.11520459972037125,0.20565468699949666,0.7830521773244409,1.3473021705321788,2.1090839290520953,0.001095256584071098,0.0004117655312262281,1
17,17,second price,1952.0,920.6045081967212,898.6064553514776,1.0,292.0,651.0,1255.0,7056.0,1952.0,0.14240072297502307,0.11897815206054688,0.00011486331265793706,0.05173374271511499,0.11266971384784605,0.20059683365279826,0.7832167832167832,1.4002829496709956,2.5856126028291677,0.0011161960788779943,0.0004526112000541667,1
18,18,second price,1932.0,980.01966873706,916.9509544971193,1.0,326.75,699.5,1356.25,7888.0,1932.0,0.15021872869322192,0.12274492838749268,0.00026780931976432785,0.059238822881460124,0.12141273245493693,0.21157656631185007,0.8008555133079848,1.4035706130062928,2.6099222835688565,0.0012698659797340608,0.0005204340423089547,1
19,19,second price,1902.0,918.813880126183,890.605563896693,1.0,274.0,661.0,1270.75,6905.0,1902.0,0.1431628085659068,0.12236907287805088,0.0001784758165268606,0.047421215139975686,0.1110332261695563,0.20595498139740648,0.7509616441367183,1.4166816684280397,2.5463151307455423,0.0012401182573994454,0.0005099468990745618,1
20,20,second price,1981.0,948.4851085310451,908.990699247542,1.0,286.0,671.0,1350.0,6552.0,1981.0,0.1479116166921168,0.1221307377024922,0.00023551577955723037,0.054782218230803766,0.11974232663887835,0.21193935565382185,0.8408082045002296,1.2980240453289185,2.1663500262920627,0.0011463858102585484,0.00046483022404906495,1
21,21,second price,1933.0,952.3657527159855,930.382651418474,1.0,310.0,668.0,1320.0,7764.0,1933.0,0.1461724416706884,0.11928313255322122,0.00012656625743576766,0.05531756379214006,0.11763715920565465,0.20572872788542546,0.8407316070694616,1.3188312004069327,2.1348400750262324,0.0010367257522566938,0.0003964185813153778,1
22,22,second price,1904.0,963.4096638655462,935.681121171162,1.0,287.75,678.0,1331.0,7114.0,1904.0,0.14848175700347566,0.12237222080634773,9.375585974123384e-05,0.05610728753318652,0.11863833135928803,0.21272795559250274,1.0216748768472907,1.3713967947484262,2.8720582235033416,0.001313029065523198,0.0006408222071328357,1
23,23,second price,1883.0,967.2681890600106,932.6294184051184,1.0,290.0,698.0,1349.0,7388.0,1883.0,0.1497981437421156,0.1264879630166339,0.0001551590380139643,0.05576096476561389,0.1195453622894256,0.2081792579150733,0.7807486631016043,1.4545883806413904,2.6551518344513148,0.0014434220689796481,0.000598118165921388,1
