,25_per_1,50_per_1,75_per_1,max_per_1,skew_1,kurtosis_1,4th_1,5th_1,std/mean_1,skew_2,kurtosis_2,4th_2,5th_2,std/mean_2,total return ratio,ratio stdev,max ratio
598,0.05679599342062416,0.1216930336248166,0.21000373433912892,0.9047721410146172,1.3823606114651583,2.8958620926759755,0.0012271147895814554,0.0005438136844982561,0.9190427092812877,1.5785318451308077,3.3636790230918305,0.0010362701195740364,0.0004248785450972087,0.6427535688162234,1.7970479704797049,0.9147065632248046,1.060370152761457
96,0.05296476049799536,0.11420500403551252,0.21428571428571427,0.7917757009345794,1.3545517548789874,2.509523049473374,0.0011368687326017278,0.00046648778982477635,0.9549763745511772,1.735974569556191,4.026665373910301,0.0009376015306223752,0.0003933573544705416,0.6498859148283312,1.9270428015564205,0.9959725256153992,0.8857177704598121
789,0.07037144636212815,0.17567278425990354,0.2885344259450603,0.6515060841811291,0.9317419956546557,0.6241680814262796,0.0016490783812495205,0.0005213319925357382,0.8503198750514892,1.6863445441556515,2.705418548556795,0.004211387451069693,0.002033703390567708,0.6461285152944295,1.6666666666666667,0.903072613507149,0.9537051920913037
511,0.05186232909005186,0.11689444605990115,0.20229007633587787,0.7836198179979778,1.4177754534214086,2.6163081026975323,0.0012577264006332454,0.0005165283448398171,0.9725588008801996,1.8210935406106457,5.3247711789514485,0.001157866993962676,0.0005886236478631287,0.632283329539207,1.8275862068965518,0.9964992447912644,0.9739930648172846
839,0.0,0.0,0.0,0.17257838860999095,2.9349611331154115,8.078905026881111,1.5330333369066297e-05,2.047689830245673e-06,2.978395247459403,4.183861773616476,16.821058215029097,2.868344189257282e-06,2.687641200467433e-07,0.5499912348219672,1.6448598130841119,0.8933194410194634,0.841830590124448
615,0.039959725330875315,0.04,0.04003989740666857,0.04021579205492889,0.029591876130855125,0.023941324168847974,2.983747875920374e-17,5.243804948201358e-22,0.34598440164355293,-0.005628733205481274,1.40024528363082,1.0835667958706088e-16,8.882882099146084e-22,0.3492824664894747,1.6899911426040741,0.32424123437149543,0.32974910394265233
922,0.05063840922513757,0.08607242910800023,0.17766455819186652,0.3246346555323591,0.6025511453234338,-0.4986994744073802,0.000142023598545578,1.7044127289674208e-05,0.8785619025428213,0.8273540705957914,-0.34891007788853345,8.407342354135256e-05,9.26354027568069e-06,0.6456350932946979,2.142857142857143,0.8871120034633966,0.8690215692403876
487,0.0,0.0,0.0,0.2922077922077922,3.4589256879087387,13.079263620165467,4.7368260916360855e-05,9.936582985364227e-06,3.094835693798406,4.565245759154436,22.572476169913372,1.1951094198896194e-05,1.8793440795748684e-06,0.5334830975973669,1.7418772563176894,0.9180193362197606,0.9834689057990029
538,0.051362745765730834,0.11954713927787168,0.2038110689311484,0.7213003725025398,1.2731303051563725,2.0113511969259514,0.0009740597038318916,0.00036425240579458616,0.9654652534807461,1.41003760635792,2.243265303894648,0.0007096049540342467,0.00024002052264561065,0.6258881443242685,1.6307692307692307,0.9941134272302447,1.300720576461169
896,0.03146259956093394,0.0967305998218557,0.14690008956236614,0.5036997885835095,2.192917873632473,6.416575360470656,0.0011492693164230322,0.00042332393679484734,0.8617673785745329,0.9033331392661592,-0.9743825591356834,1.4731886896626928e-05,1.0502430176474038e-06,0.5682988727721671,1.6666666666666667,1.1358726727337896,0.9201158940397351
635,0.0,0.0,0.0,0.3378755540962075,3.145270776728968,10.577553341760332,5.118898559551374e-05,1.0895212256576784e-05,2.818216466745012,5.212633622106662,34.38393173749043,7.69896866928693e-06,1.4072616514071344e-06,0.48463498974919744,1.761694616063548,1.074908199553439,0.9040211329615497
867,0.03399660637055036,0.0813936317970759,0.1574166922249906,0.3473227206946454,1.1071501960943877,1.4697980403474835,0.0001950242746770128,4.036490735493811e-05,0.9913807272952057,0.16559795387342052,-0.2010578614918055,1.037272242493815e-05,1.8690633142888587e-07,0.4002388946244898,1.8333333333333335,1.3218238023976778,0.8498669707335614
108,0.019960539879801682,0.02,0.020038872330816804,0.0201980198019802,-0.0538568159756444,0.3902816639183739,3.6017945204383024e-17,-9.874328209921704e-22,0.34579500960317966,0.0974494064628844,1.0896619293784644,1.0254619641167646e-16,4.0032823291916524e-21,0.3607186667175499,1.7479376718606783,0.1575030756407799,0.15119673088149446
997,0.0,0.030226028405364307,0.06795924152440884,0.2335239651416122,2.0071317470400616,4.593756043304847,6.690189609899541e-05,1.1637025013421209e-05,1.382032678210349,2.4795813238920688,6.89570764447917,0.0007137499662906128,0.00022611584504934301,0.8748585761074198,1.4117647058823528,0.37920061444892167,0.344239261340827
645,0.0,0.02007017543859649,0.06988806988806989,0.6531219028741329,2.6045958333172026,8.617082728265427,0.0005423393773682954,0.0002199708616123532,1.7132148969639205,3.304637116904628,14.139318483880755,0.0006217035267659062,0.00028068309623221653,0.6411707320942218,1.7943840579710146,0.9810107737418693,0.6538659793814433
32,0.05271292035519971,0.1136904761904762,0.20193679552101299,0.9435908937983628,1.530117396646142,3.330996282182653,0.001431535858607342,0.0006720104050628935,0.9827027474783515,1.6300086296496483,3.3069523787041546,0.001000306769933085,0.00039436069813734856,0.6437378878903953,1.77124773960217,1.0045592968221566,1.1726829268292682
70,0.0,0.019958706125258092,0.06019766397124888,0.875705186533212,2.9801435799434355,12.826388536156466,0.0008300209235417294,0.00045132342545393006,1.8535530177965294,2.8674128227031503,9.55925133267761,0.00034634676487511727,0.00011698691080726345,0.647543945069328,1.824976348155156,1.0193495358980849,1.2483014206300185
627,0.029998173166749707,0.04980340760157274,0.06,0.07016300496102056,-0.015502278486530545,-1.2467224133459365,1.4936600511344572e-07,-1.0981239161948029e-10,0.5322095518994148,0.012422181870437395,-1.2733732720520656,9.645595301135514e-08,5.325692522899291e-11,0.3755248731681044,1.7732610659439925,0.45116535595557894,0.41914191419141916
248,0.054477611940298515,0.12017382583987965,0.2000598981731057,0.9047619047619048,1.5242069117351449,3.71073202208152,0.0013373367038091706,0.0006464506354861471,0.934558683158763,1.4351517303373038,2.2354642639789244,0.0008355942269364825,0.00028527527334332555,0.6425071401760237,1.7478031634446398,0.9046929508152457,1.0738265464718681
