,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th
0,second price,1986.0,933.1641490433032,924.0646663249997,2.0,293.0,650.5,1268.0,6492.0,1986.0,0.14439803817582558,0.12276112507308744,0.0002473716759431045,0.051906235246772944,0.11182227033398814,0.2050104263210386,0.8339350180505415,1.4899326190226931,3.0550506177567596,0.0013713718003958352,0.0006042595985392891
1,second price,1940.0,940.4644329896907,926.6622321504236,2.0,292.0,647.0,1278.75,7545.0,1940.0,0.1452399341211784,0.12047175103289103,0.00029739776951672863,0.052843141654538926,0.11932861478545947,0.20610975997355968,0.8122506453884065,1.4027192572961515,2.594558371890996,0.0011751667846384396,0.0004720850580643286
2,second price,1987.0,940.0795168595873,898.821615109856,1.0,302.0,662.0,1331.0,7697.0,1987.0,0.1441945854763115,0.1175677244275299,0.0002829654782116582,0.05440231136925165,0.11706892261756656,0.19841925180005296,0.7741543798785776,1.3581189396821352,2.306657068661628,0.001011146150946118,0.0003800641164432561
3,second price,1919.0,954.5476810838978,916.2835374800335,1.0,283.5,684.0,1337.0,6627.0,1919.0,0.14634014382698088,0.12003455138063499,0.00017445917655268666,0.053173149420689236,0.12008680974198216,0.20926770760566263,0.8841482404235441,1.3733553197267099,2.72385309793729,0.0011849088304338397,0.0005077252875299972
4,second price,1931.0,958.7804246504402,922.8446960940041,1.0,310.5,689.0,1291.0,7282.0,1931.0,0.15047582962914888,0.12345029199107305,0.00011506155793349442,0.055359237009047026,0.12250309351246244,0.2108247479635807,0.791184077364219,1.3635390992134064,2.3073517989700334,0.0012292865718171108,0.000484081573655698
5,second price,1849.0,955.9837750135208,906.4502340409454,2.0,285.0,702.0,1345.0,6061.0,1849.0,0.14933317942812685,0.12464893433974328,0.00033043286705584316,0.051419389394750936,0.12230373371290923,0.20992786404205893,0.8088882957426932,1.3356357297006116,2.1578558917915736,0.001241620527902654,0.00048702745565521984
6,second price,1823.0,951.2775644541964,918.2535156284397,1.0,292.0,682.0,1346.5,9591.0,1823.0,0.14650905756484456,0.12291010477402202,0.0002847785846504343,0.051984595765987074,0.11807679238871899,0.2056646418893111,0.8869313113291704,1.4646450585152744,3.018490282170053,0.0013693870243191846,0.0006106326217079714
7,second price,1971.0,898.015728056824,859.814138371998,1.0,288.5,629.0,1257.0,6984.0,1971.0,0.1406204508528708,0.1152551272957499,0.0002340276152586005,0.051675618123023674,0.11371069182389937,0.20404893128745988,0.7188883170355121,1.2989094815344606,2.063836043646584,0.0008911886243392294,0.0003208084970470396
8,second price,1948.0,958.3439425051334,922.2402548146976,1.0,311.75,667.0,1336.25,9387.0,1948.0,0.14846448984067004,0.11941801609721114,0.00021920210434020167,0.056568103572447334,0.12164495660821208,0.21579617218006197,1.1074403906923298,1.3617292007827906,3.398277358909781,0.0012974634786694287,0.0007236915262035956
9,second price,2000.0,961.268,905.1411461331389,1.0,297.0,711.0,1304.0,7290.0,2000.0,0.1499095778864126,0.12207430496624666,0.0001085894233901618,0.05748476463995517,0.12161777005031398,0.20987930239453156,0.7136775865260041,1.3602403796620004,2.328262905224821,0.0011801282080665639,0.0004547804640394991
10,second price,1900.0,968.0615789473684,951.4287667263543,1.0,291.0,680.0,1347.0,7172.0,1900.0,0.1476260854402896,0.12322584473235088,0.00010705491917353603,0.05287086272048054,0.11839777562169779,0.21152505413582873,0.7628299120234604,1.329053033183506,2.19777491210388,0.0011951438084285924,0.00047313760161782613
11,second price,1897.0,915.917237743806,902.0551669742488,1.0,270.0,637.0,1275.0,9211.0,1897.0,0.14193440858208442,0.12031374044536478,0.00018484288354898336,0.05095759233926129,0.11228622862286229,0.19854721549636803,0.7304532202491386,1.452533713849183,2.5825725872195324,0.0011664376314239678,0.00045364084100670433
12,second price,1932.0,947.6687370600414,900.1088385745477,1.0,300.75,687.5,1302.25,6790.0,1932.0,0.14550844789223163,0.11810591766178788,0.00015037593984962405,0.05493412601113798,0.11966966383360972,0.20360458746791077,0.8548243001786778,1.3687141208060694,2.4998962682550845,0.0010671738356209481,0.0004251566431209005
13,second price,1924.0,943.6273388773388,886.6926129209716,1.0,296.75,674.0,1323.25,6315.0,1924.0,0.14499296347464177,0.11693683376594056,0.00019334880123743234,0.05369361358901252,0.11734982963772222,0.20606852640327697,0.7113733905579399,1.2242999679860573,1.7058914710980293,0.0008776040608468566,0.00030521039071249723
14,second price,1874.0,944.4151547491996,894.549575117905,1.0,282.0,684.5,1325.75,7000.0,1874.0,0.144429786176911,0.11855706174554859,0.00012714558169103624,0.0533186889050532,0.11438996827588474,0.20475031693909812,0.8662640207075065,1.3055004469991014,2.2101251506423027,0.001026444989884201,0.0004111418409641484
15,second price,1854.0,934.5021574973031,892.7119808668708,1.0,298.25,669.0,1309.0,6371.0,1854.0,0.1434571984928488,0.1197320743902554,0.000129886998311469,0.05195290947879501,0.1176167449695967,0.2036063718331852,0.8174989849776695,1.4785696803387636,3.06618924896788,0.0012429837549954826,0.0005285070444010913
16,second price,1902.0,956.717665615142,931.4542123494542,2.0,293.0,674.5,1313.75,6386.0,1902.0,0.14636751952088814,0.12108554603415332,0.0004357931435212086,0.05290654048449593,0.11520459972037123,0.20565468699949663,0.783052177324441,1.3473021705321788,2.109083929052095,0.0010952565840710979,0.0004117655312262281
17,second price,1952.0,920.6045081967213,898.6064553514776,1.0,292.0,651.0,1255.0,7056.0,1952.0,0.14240072297502307,0.11897815206054689,0.00011486331265793706,0.05173374271511499,0.11266971384784605,0.20059683365279823,0.7832167832167832,1.4002829496709956,2.5856126028291673,0.0011161960788779945,0.0004526112000541667
18,second price,1932.0,980.01966873706,916.9509544971191,1.0,326.75,699.5,1356.25,7888.0,1932.0,0.15021872869322192,0.12274492838749267,0.0002678093197643278,0.05923882288146012,0.12141273245493692,0.21157656631185012,0.8008555133079848,1.403570613006293,2.6099222835688565,0.0012698659797340608,0.0005204340423089547
19,second price,1902.0,918.813880126183,890.605563896693,1.0,274.0,661.0,1270.75,6905.0,1902.0,0.1431628085659068,0.12236907287805088,0.0001784758165268606,0.047421215139975686,0.1110332261695563,0.20595498139740648,0.7509616441367183,1.4166816684280397,2.5463151307455423,0.0012401182573994452,0.0005099468990745618
20,second price,1981.0,948.485108531045,908.9906992475421,1.0,286.0,671.0,1350.0,6552.0,1981.0,0.1479116166921168,0.1221307377024922,0.00023551577955723034,0.05478221823080377,0.11974232663887836,0.21193935565382185,0.8408082045002296,1.2980240453289185,2.1663500262920627,0.0011463858102585484,0.00046483022404906495
21,second price,1933.0,952.3657527159855,930.3826514184739,1.0,310.0,668.0,1320.0,7764.0,1933.0,0.1461724416706884,0.11928313255322122,0.00012656625743576763,0.05531756379214006,0.11763715920565466,0.20572872788542546,0.8407316070694616,1.3188312004069327,2.1348400750262324,0.0010367257522566938,0.00039641858131537783
