,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th
0,second price,1056.0,1409.969696969697,826.6849684103053,174.0,798.0,1204.5,1835.25,5785.0,1056.0,0.21662511898305956,0.09771036378646433,0.10025023459493275,0.14213115352095357,0.19137483255648463,0.26383718164363074,0.7073856688676938,1.4097297145241847,2.4835900256291863,0.000497304875905882,0.00015798665844891257
1,second price,1069.0,1424.2525724976613,857.1759287634726,188.0,842.0,1231.0,1767.0,5567.0,1069.0,0.22005342701688024,0.10525699014083606,0.10016518996846373,0.14283198309263825,0.1910092705964667,0.26597697313532453,0.802526499201394,1.5760141068710094,3.0184028386086634,0.0007349329748423452,0.00026292261457274937
2,second price,1111.0,1454.6273627362737,863.5637222914202,220.0,841.5,1232.0,1872.5,5274.0,1111.0,0.22329431142376924,0.10746456316257201,0.10034327964087668,0.14324251868770366,0.1936614110527154,0.27672124246947305,0.848951647411211,1.501193878440167,3.089941037191091,0.0008081921486562703,0.0003173018462068463
3,second price,1087.0,1419.8233670653174,877.9728598430959,244.0,808.0,1203.0,1790.5,6678.0,1087.0,0.22007664628660467,0.1104709288648074,0.10017190185966557,0.1384798562837217,0.18557692307692308,0.26751782918983896,0.8490277139794825,1.6170071343896188,3.2913499598482208,0.0009322011991348354,0.0003716294589915041
4,second price,1058.0,1484.8402646502836,925.6140379302559,300.0,841.0,1227.5,1921.75,5832.0,1058.0,0.22595787199705208,0.10959437485330205,0.1002859477124183,0.1421487566786086,0.19871140567057305,0.2774424582015038,0.701530612244898,1.4446615528071716,2.4429994784466227,0.0007812603214367154,0.0002652665504651839
5,second price,1076.0,1483.8011152416357,977.0740456283828,227.0,842.75,1193.5,1884.0,11871.0,1076.0,0.22680081193305973,0.1140125433515107,0.1004119464469619,0.141944794486899,0.19314111610121326,0.28207086376147517,0.8313025210084034,1.502887610722879,2.7106509908215988,0.0009600768311744041,0.00037232061102969997
6,second price,1206.0,1476.471807628524,945.3017742672154,244.0,811.25,1231.0,1841.75,7358.0,1206.0,0.22196381792525063,0.10664184678019506,0.10014925373134329,0.141186580496695,0.19632870798431254,0.27409737375553933,0.820509822263798,1.5810668262378686,3.5931500845775806,0.000848737754158098,0.00034733861261104424
7,second price,1108.0,1492.5460288808665,958.4206212881287,278.0,859.0,1242.5,1823.25,7737.0,1108.0,0.22550208225061558,0.11051493433698568,0.1003125,0.14508535034253478,0.1983895015856487,0.2724791679534208,0.8837066584841976,1.658752268764805,3.6548150957303682,0.0009876548435541503,0.00040367091769752844
8,second price,1106.0,1447.368896925859,898.2866272503899,247.0,803.25,1184.0,1858.75,6956.0,1106.0,0.21933126422887977,0.10345708766021797,0.10015442311934701,0.13849225472023127,0.1919303184846347,0.2749473863849047,0.718144750254842,1.3024121403557796,1.7922910350616132,0.0005464774072212483,0.00016816311262712262
9,second price,1054.0,1436.454459203036,897.1519679906833,283.0,819.0,1209.5,1777.0,7630.0,1054.0,0.22290719822438965,0.10650559115813484,0.10029185460334306,0.14554610160947126,0.1977795486906475,0.2676442613112646,0.7553175441243023,1.5946971882384595,3.3683568928613146,0.0008151057174987036,0.0003029115017628419
10,second price,1072.0,1468.233208955224,906.173376527127,273.0,823.5,1235.5,1889.25,6260.0,1072.0,0.2236806378499461,0.10863289508076412,0.10036764705882353,0.14299280455025307,0.19271368263476973,0.2736090402173247,0.7589341045238587,1.4111781780353967,2.0997370350598725,0.0007067591841790849,0.0002365918962910641
11,second price,1043.0,1432.757430488974,878.6838742644766,187.0,799.0,1207.0,1799.0,7127.0,1043.0,0.2176346349170589,0.10924041189740571,0.1004753102719831,0.13831219609613826,0.18642303689140743,0.2629974167907163,0.9505201387036543,1.850856907232417,4.965697275000139,0.0011280062175699262,0.0005251611274990557
12,second price,1050.0,1465.642857142857,945.2895759167781,161.0,805.0,1230.5,1820.0,7226.0,1050.0,0.2243443271921873,0.10926019335913909,0.10015467904098994,0.13793857217227648,0.1970981274957359,0.27395142864403893,0.7174507658643327,1.409222719352712,2.1444802167927417,0.0007294857166145153,0.00023767363115543625
13,second price,1070.0,1479.5831775700935,983.6559096762288,237.0,820.0,1187.5,1845.5,8681.0,1070.0,0.22793420862871644,0.11685988806624201,0.10017058377558756,0.1456070732770753,0.19807863954606222,0.27428079208634815,0.9719347133757962,1.84693556744168,4.78596067365757,0.0014441117534422763,0.0006875827068723737
14,second price,1079.0,1465.4726598702503,893.7879693108691,188.0,821.5,1235.0,1871.0,6032.0,1079.0,0.2237995027214565,0.10922805068375095,0.1002091040694869,0.1391557609894443,0.19754210286754664,0.2779710324970656,0.8129750271444083,1.5165671086708274,2.995192646292978,0.0008490351022193151,0.0003255419777589918
