,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th
0,second price,1923.0,933.780031201248,908.4081707923654,1.0,287.0,675.0,1254.0,6655.0,1923.0,0.14234947329243974,0.11536050897324487,0.00015683814303638644,0.053391315884543315,0.11478843736908254,0.20151941588046907,0.6730952380952381,1.2178466689035956,1.520654703779687,0.0007985433523423805,0.0002574815157035189
1,second price,2015.0,965.3826302729528,935.9993750984754,1.0,310.0,687.0,1330.0,6545.0,2015.0,0.1494899501477278,0.12391262297306001,0.00023501762632197415,0.05748836697901186,0.11862423958820777,0.2110818202526731,0.7088108441158348,1.3690173093308537,2.192217501620882,0.0012208989416676091,0.0004598529647526006
2,second price,1951.0,958.4233726294208,931.5586790205791,1.0,296.0,680.0,1342.0,8593.0,1951.0,0.14719058473837884,0.12118407641179016,0.0001007252215954875,0.055513879762847995,0.11634377576257214,0.2123446616666314,0.8545997016409747,1.3543524235668813,2.3053760786990325,0.001141083840408018,0.00045606622703567453
3,second price,1903.0,981.3473462953232,923.9317967179078,1.0,307.5,720.0,1380.0,8068.0,1903.0,0.15039578015361724,0.12084911618861223,0.00026085822355549756,0.05740226362250877,0.12472098214285714,0.21487191646011206,0.9491764705882353,1.3439847567487488,2.841745571373933,0.001242425434604415,0.0005747256937281882
4,second price,1954.0,944.2599795291709,918.5243474850772,1.0,293.5,667.5,1309.75,7455.0,1954.0,0.14432135389012712,0.1190443356822054,0.0001339405304045004,0.05382490405701755,0.11945679810488927,0.205418418995563,1.0224934851186394,1.5688118348389393,4.39540091287576,0.0014808496681939654,0.0007969655603325051
5,second price,1924.0,980.2266112266112,944.0650761559938,1.0,307.0,699.5,1381.0,6262.0,1924.0,0.15063752588328852,0.12522564069240286,0.00024551927326295114,0.055132587132083286,0.12158796125916685,0.21472895520191423,0.8069527764959237,1.4027159338940283,2.571112200700359,0.0013661527165269227,0.0005693491427929407
6,second price,1963.0,948.7457972491085,897.4715923066112,1.0,307.0,690.0,1300.0,6344.0,1963.0,0.14636633123024395,0.11679369457557602,0.00010013016921998598,0.05567997244736744,0.11890072910824454,0.2081581102655017,0.6835599505562423,1.2219865365839495,1.5454098224213837,0.0008436062765943192,0.0002779021494750459
7,second price,1957.0,945.2314767501277,944.2307946302834,1.0,284.0,669.0,1258.0,8519.0,1957.0,0.1456230459507201,0.1239851414017613,0.00017998560115190784,0.04952045410060677,0.11548223350253807,0.20429507739506345,0.7646303168712532,1.3743806646852446,2.085255704814741,0.001198479040834298,0.0004496484564890032
8,second price,1910.0,960.5722513089005,894.627543071452,1.0,304.0,703.5,1343.75,6616.0,1910.0,0.14654142254213692,0.11688927915040292,0.00010167768174885612,0.057140066305090886,0.12119128207176422,0.2071648160788026,0.7466693994671039,1.2941419690062381,2.169363902775639,0.0009623649163294625,0.00035930510543692853
9,second price,1937.0,944.9623128549304,925.1865034922604,1.0,283.0,662.0,1316.0,6579.0,1937.0,0.14684730415461963,0.12292746701893749,0.0002370791844476055,0.05197253265113774,0.11541632316570487,0.2163923182441701,0.9750873108265425,1.4012156345743665,2.8606687333211474,0.0013344965348384013,0.0006204054065762277
10,second price,1941.0,967.7027305512622,938.071185029827,1.0,294.0,686.0,1364.0,8677.0,1941.0,0.14628184025094917,0.12255283548312429,0.00020903010033444816,0.05509288917360666,0.11543697250204192,0.21051136363636364,0.9012003693444137,1.5592171066196854,3.811607893191484,0.0015320472188507302,0.0007631587666484359
11,second price,1921.0,941.2555960437272,887.5281056296011,2.0,307.0,688.0,1303.0,6841.0,1921.0,0.1437672106740598,0.1143583047825354,0.00022802417056207958,0.05504108517020999,0.11726060123432212,0.20535714285714285,0.7207095243475313,1.2476267910860743,1.8765733252865338,0.0008318021727574512,0.0002911409072624338
12,second price,1925.0,930.0903896103896,855.2455940424397,3.0,316.0,693.0,1285.0,6109.0,1925.0,0.14422663362909763,0.11662187409513909,0.00041231445849367786,0.05799414737962224,0.11546666666666666,0.20070011668611434,0.8086248701073779,1.4166175045123433,2.8207939809531686,0.0010736718639902372,0.00044498039184954206
13,second price,1971.0,942.2105530187722,882.1635297428554,1.0,291.5,706.0,1299.0,6463.0,1971.0,0.14551567441342714,0.11745839819535407,0.00011803588290840416,0.056777000507761875,0.11954436450839329,0.20816470064864967,0.8309585492227979,1.302552997638791,2.2777198641266705,0.001001880045470717,0.000395058363318518
14,second price,1978.0,953.2618806875632,915.50608417407,1.0,304.0,694.0,1290.0,6698.0,1978.0,0.14652894495677987,0.11860294656040724,0.00015101177891875566,0.05602554455504869,0.12331629308084635,0.2064761214326405,0.821760391198044,1.451669706978052,3.110743382617691,0.001205763413718248,0.0005135376657924498
15,second price,1893.0,935.9920760697306,903.7440021355335,1.0,304.0,663.0,1257.0,7037.0,1893.0,0.1433446297787025,0.11850424196278839,0.00034305317324185246,0.05278335005015045,0.11676849966055669,0.20154639175257733,0.7163758389261745,1.2914837559939136,1.873125672386935,0.000958430686431808,0.0003426370210685572
16,second price,1968.0,940.6854674796748,895.3248947506868,1.0,284.75,650.0,1330.25,6413.0,1968.0,0.14509653703586864,0.12011056166054386,0.00014988009592326138,0.05132825302705721,0.11912188034473901,0.198174333165064,0.8682246024018176,1.3918697541291007,2.522808043699954,0.0011463027726557598,0.0004666551081144885
17,second price,1992.0,976.7434738955824,902.8007984740289,1.0,314.75,696.0,1403.25,6603.0,1992.0,0.15075978537411508,0.12345931932103948,0.00010545186122535063,0.05834684786059823,0.11974604047687795,0.21568446410941577,0.783051927365403,1.299393405783163,1.9966560977487422,0.0011578206807202197,0.00044042306304938245
18,second price,1937.0,943.0831182240578,919.6017142324156,1.0,288.0,668.0,1284.0,6909.0,1937.0,0.14694370035588802,0.12210659245396528,0.00016414970453053183,0.05560511448111805,0.11822916666666666,0.20752157829839704,0.8349691021446747,1.389200858200039,2.638887182331267,0.0012500804183059352,0.00053576038386184
19,second price,1917.0,931.3067292644757,898.5949278075277,1.0,287.0,649.0,1280.0,6819.0,1917.0,0.14423167256934438,0.12128108880564213,0.0001210946960523129,0.05313588850174216,0.11351659307790914,0.20666892349356805,0.854967367657723,1.3872018422628498,2.4216979757764507,0.001169762298396294,0.0004775519725901415
20,second price,1904.0,955.5220588235294,922.6008631254348,1.0,293.5,689.0,1326.0,6518.0,1904.0,0.147634902578364,0.12286744427895317,9.216589861751152e-05,0.055101104387350885,0.11854069558739933,0.2086509052948626,0.7766773162939297,1.3787859425224551,2.441917978122854,0.0012367433079809513,0.0005006246872358596
