,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th
0,second price,167.0,1199.491017964072,1213.5624142797815,4.0,396.0,807.0,1587.0,6160.0,167.0,0.19233032081998552,0.16478614532540026,0.0006403073475268129,0.06896647879932274,0.15182899955927723,0.26408331151541126,0.7970390309555855,1.1844887103466764,0.9920697687175317,0.002860987348851787,0.0011499565662282827
1,second price,185.0,1115.0972972972972,1217.5120529906214,2.0,283.0,645.0,1488.0,6757.0,185.0,0.1800936878574038,0.16831342963376233,0.0002520478890989288,0.06123388581952118,0.12296564195298372,0.27256676230412713,0.8641865958074992,1.47802118370131,2.067421306895703,0.003953403691459399,0.001920961894734001
2,second price,146.0,1117.3150684931506,1190.314022626395,2.0,326.75,742.5,1480.5,6124.0,146.0,0.18277779554313345,0.17172429583281812,0.0005035246727089627,0.05647392857021406,0.13595100338620894,0.23849035078725817,0.932807679122386,1.7695009601547875,4.085608643218661,0.00592375395164692,0.003667549815971529
3,second price,156.0,997.0833333333334,995.2129741811522,9.0,242.75,640.0,1409.5,5766.0,156.0,0.16491654347145898,0.14965637831775316,0.0019255455712451862,0.04371390781646635,0.12227632303010927,0.24766961018978434,0.7404167738615899,1.242707020028341,1.3573216229386635,0.0021175407946436645,0.000866109973771465
4,second price,155.0,1245.7354838709678,1180.673944001648,2.0,410.5,880.0,1706.5,6017.0,155.0,0.20556412909402808,0.18649694117987978,0.0003081189339084887,0.07619620354210593,0.15707317073170732,0.2926447938634682,1.0838064955712015,1.7599601849264068,4.369248273313071,0.008587383496984078,0.0060681149236227905
5,second price,163.0,1118.4049079754602,1041.9370946038757,2.0,316.5,748.0,1631.5,4924.0,163.0,0.18339868786053515,0.1545759931965171,0.000335795836131632,0.06214316775707897,0.1466475439225529,0.2563076750250218,0.8040643008795875,1.3442639694736565,1.9200490780625468,0.0027209880620172647,0.001222125783155076
6,second price,158.0,1099.987341772152,1127.0950145454783,37.0,268.75,739.5,1384.75,5318.0,158.0,0.18280675207716324,0.17046437549636403,0.007497467071935157,0.047891278375149345,0.1307191656085863,0.26217126305223815,0.9458350430857612,1.6205241188781738,3.1813449800161555,0.005038848525778384,0.0029158818079576
7,second price,170.0,1112.105882352941,1114.834294195998,6.0,316.5,809.0,1470.25,6289.0,170.0,0.1895487885867328,0.17885980931239792,0.0008151066431191414,0.06112140461393199,0.1363662104614553,0.254486408843677,1.057152462598756,2.04926956954288,5.86941109446183,0.008761942874417282,0.006488564179994169
8,second price,176.0,981.8352272727273,893.0983635527045,15.0,330.0,712.5,1316.75,4587.0,176.0,0.17012945431468504,0.15013872013527746,0.002071402461313513,0.0630956410738082,0.1274089212749075,0.25120277300221683,0.9052116124519063,1.6300725661292093,3.6969771175754613,0.003294970208324048,0.0018400459092226837
9,second price,125.0,1033.976,1063.2218418106477,12.0,238.0,640.0,1470.0,5006.0,125.0,0.17598302137654287,0.17641007399243347,0.00205761316872428,0.049019607843137254,0.12859994297120045,0.25730924649393866,0.9155387114239307,2.0122197657859884,5.250809343552474,0.007620129237726109,0.00489361959228495
10,second price,160.0,1116.26875,944.681529125094,13.0,366.25,838.0,1625.5,5733.0,160.0,0.20239550244850207,0.1777020643882073,0.004813032210292484,0.07110914364412964,0.1643643164122165,0.29051010466837013,1.1084686774941996,1.7864825483373556,5.037805577360599,0.007724817942012151,0.0056190902978411755
