,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th
0,second price,1057.0,1472.6177861873225,944.6991752957997,254.0,799.0,1192.0,1869.0,7519.0,1057.0,0.225500239445154,0.11146877681918757,0.10014068295178412,0.14442162902121836,0.19686544342507645,0.27628403998621165,0.8817251143541712,1.5800892693926365,3.2020837236080566,0.0009525101627196432,0.00038114848222490117
1,second price,1153.0,1459.1214223764093,988.1045727564165,217.0,799.0,1170.0,1806.0,8477.0,1153.0,0.2203216867022507,0.10843172334150135,0.10020009235031553,0.13911198666464616,0.19040462427745664,0.26812212178065836,0.7244399185336049,1.4919107269618652,2.3795154348175407,0.000740220913441962,0.00024934211685773724
2,second price,1058.0,1444.1739130434783,910.0757461691711,269.0,781.25,1204.5,1851.5,6824.0,1058.0,0.21740018296772892,0.10405019068490295,0.10026090197540068,0.13797285220171318,0.18776662583963094,0.26398633532581117,0.8140071831708569,1.5065815006956227,2.861270825173968,0.0006834696202258142,0.0002517441623483834
3,second price,1042.0,1415.9299424184262,931.0776501819769,252.0,789.75,1169.5,1745.5,7033.0,1042.0,0.21687490838716417,0.10552080981785057,0.10016741071428571,0.1380639421801059,0.18678895417183347,0.2670095203122268,0.8031762561832856,1.5864697005771353,3.2463570634003385,0.0007703022647426262,0.0002956090242919074
4,second price,1143.0,1466.9483814523185,950.3863293900599,273.0,830.0,1227.0,1876.5,8716.0,1143.0,0.22151238162899461,0.1082341628203867,0.1001628664495114,0.1410222910623541,0.19349775784753362,0.2677603551065207,0.9028060187067913,1.77977858829303,4.863589873482264,0.0010736243219040484,0.0004931243619065844
5,second price,1080.0,1371.6796296296295,826.7719013039664,264.0,791.0,1180.5,1729.5,6020.0,1080.0,0.21509859204827284,0.1024728616363646,0.10017730496453901,0.138928952991453,0.18661116769411512,0.26321945475808706,0.8723483438779308,1.6108343264049554,3.6086084517960506,0.0007248984454602531,0.00029114073793203217
6,second price,1075.0,1485.0306976744187,922.5841006145089,191.0,815.5,1250.0,1958.5,6293.0,1075.0,0.22748073974798247,0.10960270502670746,0.10028724865742475,0.1417717218343213,0.20060240963855422,0.28358205158071526,0.7281879194630873,1.3541725667457722,2.0748419290145748,0.0007287780775042361,0.00024423665082651827
7,second price,1096.0,1491.0574817518248,902.811904325798,261.0,857.5,1219.0,1911.25,6135.0,1096.0,0.2252577642216299,0.10929672504801345,0.10029818378964489,0.14247012341294504,0.19669435448797898,0.28117379416183036,0.7587786259541984,1.519919524573825,3.0029460377869444,0.0008523390688743063,0.0003261490537935346
8,second price,1100.0,1478.2445454545455,967.6810461681457,255.0,806.75,1200.5,1895.25,7212.0,1100.0,0.22434580007505248,0.11388339283587373,0.10033167495854063,0.14010192782772313,0.19296933938720945,0.27068412002271725,0.8663620788121074,1.6471148156929283,3.4740152144741763,0.0010834264987608165,0.00044786532732539637
9,second price,1134.0,1435.5061728395062,905.2736194583343,214.0,818.0,1225.5,1780.0,6905.0,1134.0,0.21868109479188289,0.10766311989185269,0.10010391409767926,0.1392157809839961,0.18993915046009635,0.26623016688860635,0.7489716636197441,1.6388360742883459,3.1699959017261023,0.0008249537693197424,0.0002993439546616789
10,second price,1083.0,1438.8633425669436,920.8338109400265,265.0,784.0,1201.0,1826.0,7939.0,1083.0,0.21931675013384688,0.10789371709436986,0.10025706940874037,0.13889604195390853,0.191627237193993,0.2686970184760375,0.8437778437778438,1.6504389290643533,3.8372473859673755,0.0009216915273868292,0.00038369236635221076
11,second price,1145.0,1463.665502183406,922.8605597075629,260.0,827.0,1239.0,1871.0,7905.0,1145.0,0.2215538511771549,0.10815501102017495,0.10023387905111927,0.14081571896397738,0.19481446241674596,0.27035735207967193,0.8676766322563346,1.6250632326774046,3.8022614867930247,0.0009261592975547178,0.00039965976926699913
12,second price,1090.0,1432.5155963302752,908.0666837540302,266.0,805.25,1189.0,1804.75,6365.0,1090.0,0.219822876653284,0.10121315350299484,0.10009797517962116,0.14494580048514252,0.19387558729353443,0.2681171997897597,0.7010426849136526,1.342764773971672,1.8723720544495954,0.0005089023333629521,0.00015239297054602446
13,second price,1094.0,1429.9771480804388,904.8187135146748,232.0,811.5,1208.0,1789.75,7303.0,1094.0,0.21985781732222892,0.10972704564776284,0.10035174839644113,0.14045903954802258,0.18941583234632853,0.26662529882389086,0.8174556213017752,1.6986978488851339,3.888736248214943,0.0009934202483678233,0.00041399870631596763
14,second price,1062.0,1429.0131826741997,921.9303222844164,240.0,791.5,1177.0,1785.25,7383.0,1062.0,0.22133448597471578,0.10613596709349878,0.10014306151645208,0.14039835626481215,0.1954159539330659,0.2732917196951222,0.8557523846603076,1.5642177774229276,3.608717375028929,0.0008341818206842542,0.00034860270154949313
15,second price,1040.0,1462.2596153846155,894.7374007323833,263.0,821.75,1246.5,1862.5,6809.0,1040.0,0.22349112934517829,0.10720771232788245,0.10009134803601723,0.14589062356752613,0.19652180037675243,0.27091234007779874,0.8548387096774194,1.7175075869896825,4.400214404100825,0.0009721468370488923,0.0004268154761064907
16,second price,1107.0,1481.8355916892501,886.6026579738528,257.0,852.0,1232.0,1866.0,7173.0,1107.0,0.22496961997434106,0.10773477847720742,0.10012771392081737,0.14426456183026762,0.1995164632742344,0.27393396983686763,0.7945913700536886,1.6644823252845045,3.9688752281595883,0.0009339975779025165,0.000384568232917996
